"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header","startDiagnostic","stopDiagnostic","scale","minimumRefreshDelayMillis"
"AWD Coupling Temp","Coupling T","0x221026","(A*256+B)/128",-20,100,"°C","7B1","","",1,0
"Clutch Pack/Trans Temp","ClPack T","0x221638","A + B/256 - 40",0,100,"°C","700","","",1,0
"Brake Master Cyl Temp","MC Temp","0x221006","A-80",-20,100,"°C","7B0","","",1,0
"Charge Air Cooler Temp","CACT","0x220177","B-40",-40,100,"°C","7DF","","",1,0
"Engine Oil Pressure","Oil Press","0x221074"," (((A*256)+B) * 10) / 128 ",0,1000,"kPa","700","","",1,0
"Engine Oil Temp (unconfirmed)","Oil Temp?","0x015C","A-40",-40,215,"°C","","","",1,0
"Front Left Tire Pressure","FL Press","0x221005","(B/58)-0.5",0,4,"bar","750","atcea2a\natta2a","atcea",1,0
"Front Right Tire Pressure","FR Press","0x221005","(D/58)-0.5",0,4,"bar","750","atcea2a\natta2a","atcea",1,0
"Rear Left Tire Pressure","RL Press","0x221005","(F/58)-0.5",0,4,"bar","750","atcea2a\natta2a","atcea",1,0
"Rear Right Tire Pressure","RR Press","0x221005","(H/58)-0.5",0,4,"bar","750","atcea2a\natta2a","atcea",1,0
"Front Left Tire Temp","FL Temp","0x221004","A-40",-30,100,"°C","750","atcea2a\natta2a","atcea",1,0
"Front Right Tire Temp","FR Temp","0x221004","B-40",-30,100,"°C","750","atcea2a\natta2a","atcea",1,0
"Rear Left Tire Temp","RL Temp","0x221004","C-40",-30,100,"°C","750","atcea2a\natta2a","atcea",1,0
"Rear Right Tire Temp","RR Temp","0x221004","D-40",-30,100,"°C","750","atcea2a\natta2a","atcea",1,0
"Steering Angle","Steer Angle","0x221004","((SIGNED(A)*256)+B)*1.5",-410,410,"°","7B3","","",1,0
"Accelerator Pedal","Accel Pedal","0x221059","(A-41)/1.42",0,100,"%","700","","",1,0
"Brake Master Cyl Pressure","Brake Press","0x221004","(A*0.9807)-10",0,150,"bar","7B0","","",1,0
"Parking Brake","P.Brake","0x2162","BIT(A:1)",0,1,"","7D0","","",1,0
