"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header","startDiagnostic","stopDiagnostic","scale","minimumRefreshDelayMillis"
"RAW Press byte0","RawP b0","0x221005","A",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte1","RawP b1","0x221005","B",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte2","RawP b2","0x221005","C",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte3","RawP b3","0x221005","D",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte4","RawP b4","0x221005","E",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte5","RawP b5","0x221005","F",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte6","RawP b6","0x221005","G",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte7","RawP b7","0x221005","H",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte8","RawP b8","0x221005","I",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte9","RawP b9","0x221005","J",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte10","RawP b10","0x221005","K",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte11","RawP b11","0x221005","L",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Press byte12","RawP b12","0x221005","M",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte0","RawT b0","0x221004","A",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte1","RawT b1","0x221004","B",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte2","RawT b2","0x221004","C",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte3","RawT b3","0x221004","D",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte4","RawT b4","0x221004","E",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte5","RawT b5","0x221004","F",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte6","RawT b6","0x221004","G",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte7","RawT b7","0x221004","H",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte8","RawT b8","0x221004","I",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte9","RawT b9","0x221004","J",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW Temp byte10","RawT b10","0x221004","K",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW TID1","RawTID1","0x222021","A",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW TID2","RawTID2","0x222021","B",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW TID3","RawTID3","0x222021","C",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
"RAW TID4","RawTID4","0x222021","D",0,255,"raw","750","atcea2a\natta2a","atcea",1,500
